Unnamed: 0,bt,km,owner,oem,model,modelyear,state,insurance_validity,fuel_type,seats,rto,engine_displacement,mileage,price
0,Hatchback,120000,3rd Owner,Maruti,Maruti Celerio,2015,Bangalore,Third Party insurance,Petrol,5,KA51,998,23.1,400000
1,SUV,32706,2nd Owner,Ford,Ford Ecosport,2018,Bangalore,Comprehensive,Petrol,5,KA05,1497,17.0,811000
2,Hatchback,11949,1st Owner,Tata,Tata Tiago,2018,Bangalore,Comprehensive,Petrol,5,KA03,1199,23.84,585000
3,Sedan,17794,1st Owner,Hyundai,Hyundai Xcent,2014,Bangalore,Comprehensive,Petrol,5,KA53,1197,19.1,462000
4,SUV,60000,1st Owner,Maruti,Maruti SX4 S Cross,2015,Bangalore,Third Party insurance,Diesel,5,KA04,1248,23.65,790000
6,Hatchback,37772,1st Owner,Datsun,Datsun GO,2017,Bangalore,Comprehensive,Petrol,5,KA05,1198,20.63,345000
7,SUV,30000,1st Owner,Hyundai,Hyundai Venue,2021,Bangalore,Third Party insurance,Petrol,5,KA51,998,18.15,1200000
8,Sedan,37000,1st Owner,Maruti,Maruti Ciaz,2018,Bangalore,Comprehensive,Petrol,5,KA03,1462,20.28,960000
9,Hatchback,11949,1st Owner,Tata,Tata Tiago,2017,Bangalore,Comprehensive,Petrol,5,KA03,1199,23.84,585000
10,Hatchback,50000,1st Owner,Maruti,Maruti Baleno,2018,Bangalore,Third Party insurance,Petrol,5,WB02,1197,21.4,690000
11,Hatchback,24887,1st Owner,Hyundai,Hyundai Grand i10,2019,Bangalore,Third Party insurance,Petrol,5,KA51,1197,18.9,682000
12,Hatchback,23000,1st Owner,Honda,Honda Jazz,2018,Bangalore,Comprehensive,Petrol,5,KA03,1199,18.2,825000
13,Hatchback,48928,1st Owner,Tata,Tata Tiago,2018,Bangalore,Comprehensive,Petrol,5,KA03,1199,23.84,595000
17,Hatchback,65376,2nd Owner,Hyundai,Hyundai i20,2014,Bangalore,Comprehensive,Diesel,5,KA41,1396,21.27,521000
18,SUV,10000,1st Owner,Tata,Tata Nexon,2022,Bangalore,Third Party insurance,Petrol,5,KA02,1199,17.33,1005000
19,Sedan,67000,2nd Owner,Honda,Honda City,2016,Bangalore,Comprehensive,Petrol,5,KA53,1497,17.8,775000
21,Hatchback,18083,1st Owner,Maruti,Maruti Swift,2016,Bangalore,Comprehensive,Petrol,5,KA04,1197,22.38,582000
22,SUV,30000,1st Owner,Renault,Renault Duster,2020,Bangalore,Third Party insurance,Petrol,5,KA01,1498,16.42,1090000
23,Hatchback,57634,2nd Owner,Tata,Tata Tiago,2016,Bangalore,Comprehensive,Petrol,5,KA05,1199,23.84,457000
25,Sedan,110000,1st Owner,Honda,Honda City,2015,Bangalore,Third Party insurance,Petrol,5,HR26,1497,17.4,550000
26,Hatchback,23447,1st Owner,Hyundai,Hyundai Santro,2018,Bangalore,Comprehensive,Petrol,5,KA04,1086,20.3,570000
27,Hatchback,30000,2nd Owner,Hyundai,Hyundai Santro Xing,2009,Bangalore,Third Party insurance,LPG,5,WB02,1086,13.45,220000
33,Sedan,50000,1st Owner,Hyundai,Hyundai Xcent,2018,Bangalore,Third Party insurance,Petrol,5,WB02,1197,20.14,674000
34,Hatchback,12434,1st Owner,Maruti,Maruti Wagon R,2015,Bangalore,Comprehensive,Petrol,5,WB38,998,20.51,349000
37,Hatchback,40987,2nd Owner,Maruti,Maruti Wagon R,2015,Bangalore,Comprehensive,Petrol,5,KA53,998,20.51,405999
